isco_08_code;n;Proximidad física;Correo electrónico;Independencia
7411;2;3,865;3,085;4,33
7412;13;3,610769231;3,465384615;4,385384615
7413;2;3,835;3,46;5,17
7421;7;3,625714286;3,984285714;4,285714286
7422;7;3,397857143;4,073571429;4,071428571
7511;4;3,68;1,8825;2,3325
7512;1;3,19;2,88;3,67
7513;2;3,07;2;2,665
7514;2;3,9;1,12;3
7515;2;4,03;2,66;3,335
7516;3;3,738333333;1,685833333;2,8325
7521;2;3,62;1,995;3,335
7522;4;3,1625;1,57;3,4975
7523;1;3,05;1,57;3,33
7531;1;3,51;1,61;4,33
7532;3;2,833333333;2,163333333;2,776666667
7533;3;2,993333333;2,786666667;2,89
7534;1;3,46;1,05;3,33
7535;2;4,36;1,76;2
7536;1;3,2;1,15;2,67
7541;1;4;3,38;5
7542;1;3,63;2,86;4,33
7543;1;3,58;3,32;2,33
7544;3;2,963333333;2,496666667;4,886666667
7549;2;3,725;3,525;4
8111;8;3,127142857;1,338571429;2,904285714
8112;2;2,345;1,28;2,67
8113;6;3,628333333;2,066666667;3,278333333
8114;4;2,924166667;2,46;3,146875
8121;5;3,16;1,846;2,802
8122;3;3,206666667;1,363333333;2,446666667
8131;3;3,051666667;2,6725;3,609166667
8132;1;3,33;3,14;3,67
8141;5;3,195;1,5515;3,2995
8142;13;3,3275;1,9225;2,6675
8143;2;3,605;2,115;2,67
8151;1;3,54;1,28;2,67
8152;1;2,77;1,24;1,67
8153;1;3,49;1,34;2,33
8154;1;2,84;1,31;2,67
8155;1;NA;NA;NA
8156;1;3,44;1,01;2,33
8157;1;3,12;1,37;2,67
8159;1;NA;NA;NA
8160;6;3,22;1,842;2,932
8171;2;2,855;1,505;2,67
8172;1;3,28;1,68;3,33
8181;6;3,0825;1,98625;3,139583333
8182;1;3,41;3,83;3,67
8183;1;3,37;1,89;3,33
8189;4;3,1525;2,255;3,2525
8211;2;3,565;2,12;3,5
8212;5;3,124;2,556;2,8
8219;2;3,62;1,16;2,33
8311;6;3,185;2,17;3,558333333
8312;4;3,266666667;3,136666667;4,556666667
8321;3;3,225;4,415;4,17
8322;5;4,03;3,002;4
8331;4;3,9525;2,625;4,0825
8332;2;3,15;3,26;5
8341;2;2,06;2,08;3,335
8342;5;3,014;1,786;2,998
8343;5;3,262;2,204;4,602
8344;2;2,995;2,985;4,335
8350;2;3,945;2,59;3,67
9111;1;2,67;1,08;2
9112;3;2,93;1,976666667;2,11
9121;1;2,4;1,47;1,67
9122;1;3,19;2,1;2,33
9123;1;2,93;2,75;2
9129;2;4,06;2,83;3,33
9211;2;2,25;1,27;2
9212;2;3,57;2,38;2,33
9213;3;2,91;1,825;2,165
9214;3;3,14;1,385;2,335
9215;2;3,66;4,76;4,33
9216;2;3,69;2,145;3
9311;2;4,2;1,94;2,67
9312;3;4,06;2,435;3
9313;8;3,7;1,481428571;2,475714286
9321;1;3,8;1,17;2
9329;4;3,2875;1,725;2,165
9331;3;2,81;4,42;2,67
9332;2;NA;NA;NA
9333;4;3,58125;4,07125;4,415
9334;1;3,7575;2,765;2,8325
9411;2;3,605;1,82;3,5
9412;4;3,853333333;1,556666667;1,89
9510;1;NA;NA;NA
9520;1;3,67;4,48;3,67
9611;2;2,93;3,095;4
9612;1;2,22;1,78;2,33
9613;1;NA;NA;NA
9621;2;3,47;3,565;3
9622;4;3,503333333;3,28;3,223333333
9623;2;2,89;3,285;4
9624;1;3,8;2,53;2
9629;5;3,712;1,684;2,934
